Date,kWh
2017-07-25,405683.88
2017-07-26,403673.9700000003
2017-07-27,406771.31999999995
2017-07-28,411045.3200000002
2017-07-29,332811.64
2017-07-30,321111.7099999997
2017-07-31,433909.0899999996
2017-08-01,435437.60000000003
2017-08-02,447750.47999999946
2017-08-03,441011.7
2017-08-04,448880.22
2017-08-05,343080.55999999936
2017-08-06,331197.3899999999
2017-08-07,470908.29999999993
2017-08-08,481905.67000000033
2017-08-09,484297.62999999995
2017-08-10,514623.25000000006
2017-08-11,494553.33
2017-08-12,378983.16999999963
2017-08-13,351805.13999999984
2017-08-14,512510.5899999999
2017-08-15,514254.70000000036
2017-08-16,528071.7600000001
2017-08-17,531914.56
2017-08-18,526307.4399999996
2017-08-19,375070.5399999997
2017-08-20,359339.52999999985
2017-08-21,526798.2499999992
2017-08-22,538964.5399999997
2017-08-23,536166.7999999997
2017-08-24,536179.3200000005
2017-08-25,528013.08
2017-08-26,373424.99999999977
2017-08-27,353141.3100000001
2017-08-28,532230.7399999999
2017-08-29,528921.1000000006
2017-08-30,543556.5800000002
2017-08-31,547041.6400000007
2017-09-01,529358.1000000004
2017-09-02,372085.7200000004
2017-09-03,358639.32
2017-09-04,538088.7299999995
2017-09-05,545715.05
2017-09-06,543805.8200000003
2017-09-07,555843.44
2017-09-08,533545.1300000001
2017-09-09,389275.18999999977
2017-09-10,355534.9200000001
2017-09-11,546543.6199999998
2017-09-12,553761.8799999997
2017-09-13,555559.3300000002
2017-09-14,548929.3500000002
2017-09-15,546318.97
2017-09-16,376599.60000000003
2017-09-17,369947.43000000005
2017-09-18,545829.6299999999
2017-09-19,565239.1900000002
2017-09-20,563606.4199999997
2017-09-21,564260.95
2017-09-22,563578.22
2017-09-23,395687.86000000057
2017-09-24,367916.92000000004
2017-09-25,559702.8400000008
2017-09-26,565417.8499999999
2017-09-27,568443.6100000003
2017-09-28,566117.8300000007
2017-09-29,553684.0399999996
2017-09-30,400577.13999999996
2017-10-01,388591.84
2017-10-02,576895.0599999996
2017-10-03,588671.8500000001
2017-10-04,583039.6000000003
2017-10-05,580545.4499999997
2017-10-06,570152.2600000001
2017-10-07,411366.81000000006
2017-10-08,388584.79999999976
2017-10-09,588422.0100000006
2017-10-10,595676.2599999999
2017-10-11,597535.1299999998
2017-10-12,598098.2199999994
2017-10-13,573800.3
2017-10-14,414745.4500000004
2017-10-15,392445.32
2017-10-16,531540.3800000001
2017-10-17,536054.7
2017-10-18,529831.32
2017-10-19,533682.29
2017-10-20,537166.2899999998
2017-10-21,431677.3499999997
2017-10-22,413771.62000000017
2017-10-23,608868.66
2017-10-24,619467.6200000001
2017-10-25,614803.4099999997
2017-10-26,632611.0599999999
2017-10-27,623215.46
2017-10-28,442371.6000000003
2017-10-29,441284.73000000033
2017-10-30,624128.4299999999
2017-10-31,623786.6900000003
2017-11-01,632249.7099999997
2017-11-02,624938.4900000009
2017-11-03,602676.0200000001
2017-11-04,414964.53000000055
2017-11-05,400664.01999999984
2017-11-06,603433.6900000004
2017-11-07,607423.3200000003
2017-11-08,611683.6300000001
2017-11-09,610219.97
2017-11-10,587937.7999999997
2017-11-11,428384.7499999997
2017-11-12,416424.22999999986
2017-11-13,619434.2600000002
2017-11-14,616603.9900000006
2017-11-15,619774.9999999998
2017-11-16,625915.1199999998
2017-11-17,608810.6199999995
2017-11-18,441012.44000000024
2017-11-19,427846.08999999973
2017-11-20,638270.8699999994
2017-11-21,645886.4299999991
2017-11-22,649442.5800000005
2017-11-23,649150.24
2017-11-24,621404.3299999997
2017-11-25,451779.9100000001
2017-11-26,442536.4899999998
2017-11-27,634041.5699999993
2017-11-28,644448.2300000001
2017-11-29,656433.3500000002
2017-11-30,646066.6299999998
2017-12-01,639995.2900000003
2017-12-02,469236.9199999995
2017-12-03,442259.23
2017-12-04,644542.1099999999
2017-12-05,638285.2699999996
2017-12-06,491275.49000000005
2017-12-07,644590.4199999997
2017-12-08,632449.5100000004
2017-12-09,461449.8199999997
2017-12-10,450803.52000000014
2017-12-11,637830.5899999999
2017-12-12,657613.4000000004
2017-12-13,654104.1899999995
2017-12-14,650540.8600000005
2017-12-15,644265.1100000006
2017-12-16,472885.21999999986
2017-12-17,451518.3799999998
2017-12-18,634971.38
2017-12-19,649335.2500000005
2017-12-20,638214.1300000005
2017-12-21,625128.64
2017-12-22,593290.2799999998
2017-12-23,442229.84
2017-12-24,409736.49
2017-12-25,461634.9099999997
2017-12-26,468216.14000000036
2017-12-27,527145.4999999998
2017-12-28,536583.2599999995
2017-12-29,529590.3300000003
2017-12-30,445094.1900000001
2017-12-31,423774.5800000001
2018-01-01,459648.42000000045
2018-01-02,537685.2200000007
2018-01-03,549684.11
2018-01-04,556529.6299999998
2018-01-05,550157.4999999998
2018-01-06,438539.63
2018-01-07,436810.14999999997
2018-01-08,641031.7000000002
2018-01-09,631612.1399999997
2018-01-10,649435.24
2018-01-11,644375.0800000005
2018-01-12,639961.7000000005
2018-01-13,462644.4100000001
2018-01-14,453146.5599999996
2018-01-15,654308.320000001
2018-01-16,663081.7699999999
2018-01-17,654191.0799999995
2018-01-18,653846.6099999994
2018-01-19,637262.9100000005
2018-01-20,470081.7799999999
2018-01-21,446014.15999999974
2018-01-22,647182.7700000001
2018-01-23,649686.1300000001
2018-01-24,661588.0400000003
2018-01-25,642521.6799999996
2018-01-26,632909.1699999993
2018-01-27,453933.8800000002
2018-01-28,457455.41000000003
2018-01-29,634558.8700000002
2018-01-30,646891.9999999991
2018-01-31,636696.980000001
2018-02-01,646961.7700000007
2018-02-02,606635.85
2018-02-03,468643.32999999926
2018-02-04,452424.5400000001
2018-02-05,645411.8199999997
2018-02-06,657579.87
2018-02-07,657300.7500000001
2018-02-08,644731.4400000004
2018-02-09,635272.7699999999
2018-02-10,474424.5500000005
2018-02-11,456920.28999999986
2018-02-12,650184.7300000008
2018-02-13,648438.1900000002
2018-02-14,647272.9800000002
2018-02-15,645496.1899999997
2018-02-16,626394.1499999994
2018-02-17,454109.17999999964
2018-02-18,446694.8600000001
2018-02-19,580871.2199999992
2018-02-20,577153.7100000001
2018-02-21,576914.5200000003
2018-02-22,576811.7100000003
2018-02-23,571284.7500000002
2018-02-24,466153.39000000013
2018-02-25,451869.0399999998
2018-02-26,641217.46
2018-02-27,641717.3299999995
2018-02-28,642242.3599999998
2018-03-01,630642.1599999995
2018-03-02,627215.6199999996
2018-03-03,467147.58000000083
2018-03-04,450601.51
2018-03-05,635584.8699999999
2018-03-06,639150.1000000006
2018-03-07,631718.6100000001
2018-03-08,640742.4700000006
2018-03-09,622078.9000000003
2018-03-10,455841.4500000001
2018-03-11,436722.4399999998
2018-03-12,624297.7900000004
2018-03-13,627101.44
2018-03-14,629945.3800000002
2018-03-15,626015.6299999997
2018-03-16,615593.8499999997
2018-03-17,456222.40999999945
2018-03-18,434363.2
2018-03-19,615664.9300000003
2018-03-20,627713.71
2018-03-21,625166.9000000008
2018-03-22,619848.8800000004
2018-03-23,609949.4199999993
2018-03-24,451176.6199999998
2018-03-25,404357.36999999994
2018-03-26,611508.7200000002
2018-03-27,617631.2700000006
2018-03-28,618656.2099999998
2018-03-29,587180.3700000005
2018-03-30,458053.30000000016
2018-03-31,411029.3300000001
2018-04-01,408342.1800000001
2018-04-02,464610.9300000004
2018-04-03,598809.3399999999
2018-04-04,601382.8500000003
2018-04-05,597567.9800000001
2018-04-06,588021.3499999999
2018-04-07,421859.7199999997
2018-04-08,402401.92000000004
2018-04-09,571843.5500000003
2018-04-10,586196.9900000001
2018-04-11,587208.6199999996
2018-04-12,581956.9099999999
2018-04-13,563049.3900000004
2018-04-14,401220.1100000005
2018-04-15,376420.8900000003
2018-04-16,574902.28
2018-04-17,557182.9199999998
2018-04-18,563169.7100000001
2018-04-19,546765.2099999998
2018-04-20,535910.2199999999
2018-04-21,386453.8100000005
2018-04-22,379084.8900000005
2018-04-23,556128.1400000002
2018-04-24,560243.6599999999
2018-04-25,556361.0299999996
2018-04-26,544961.3999999998
2018-04-27,536585.7400000002
2018-04-28,386192.35000000027
2018-04-29,378363.2499999999
2018-04-30,487621.30000000016
2018-05-01,414421.21000000014
2018-05-02,548932.78
2018-05-03,548810.34
2018-05-04,528492.57
2018-05-05,383974.6899999999
2018-05-06,354332.8700000003
2018-05-07,527128.96
2018-05-08,526224.3300000002
2018-05-09,524452.0900000002
2018-05-10,408473.3599999999
2018-05-11,489074.09000000014
2018-05-12,369306.8000000005
2018-05-13,359302.59999999974
2018-05-14,527217.84
2018-05-15,535023.7900000002
2018-05-16,531384.12
2018-05-17,527626.3499999997
2018-05-18,521902.35000000015
2018-05-19,372131.0500000002
2018-05-20,353626.7500000002
2018-05-21,528351.3999999997
2018-05-22,526372.2700000001
2018-05-23,536650.2299999999
2018-05-24,518098.36
